t,value
1675883910,9223372036854775807
1675883940,9223372036854775807
1675883970,9223372036854775807
1675884000,9223372036854775807
1675884030,9223372036854775807
1675884060,9223372036854775807
1675884090,9223372036854775807
1675884120,9223372036854775807
1675884150,9223372036854775807
1675884180,9223372036854775807
1675884210,9223372036854775807
1675884240,9223372036854775807
1675884270,9223372036854775807
1675884300,9223372036854775807
1675884330,9223372036854775807
1675884360,9223372036854775807
1675884390,9223372036854775807
1675884420,9223372036854775807
1675884450,9223372036854775807
1675884480,9223372036854775807
1675884510,9223372036854775807
1675884540,9223372036854775807
1675884570,9223372036854775807
1675884600,9223372036854775807
1675884630,9223372036854775807
1675884660,9223372036854775807
1675884690,9223372036854775807
1675884720,9223372036854775807
1675884750,9223372036854775807
1675884780,9223372036854775807
1675884810,9223372036854775807
1675884840,9223372036854775807
1675975050,9223372036854775807
1675975080,9223372036854775807
1675975110,9223372036854775807
1675975141,9223372036854775807
1675975171,9223372036854775807
1675975201,9223372036854775807
1675975231,9223372036854775807
1675975261,9223372036854775807
1675975291,9223372036854775807
1675975321,9223372036854775807
1675975351,9223372036854775807
1675975381,9223372036854775807
1675975411,9223372036854775807
1675975441,9223372036854775807
1675975471,9223372036854775807
1675975501,9223372036854775807
1675975531,9223372036854775807
1675975561,9223372036854775807
1675975591,9223372036854775807
1675975621,9223372036854775807
1675975651,9223372036854775807
1675975681,9223372036854775807
1675975711,9223372036854775807
1675975741,9223372036854775807
1675975771,9223372036854775807
1675975801,9223372036854775807
1675975831,9223372036854775807
1675975861,9223372036854775807
1675975891,9223372036854775807
1675975921,9223372036854775807
1675975951,9223372036854775807
1675975981,9223372036854775807
1675976011,9223372036854775807
1675976041,9223372036854775807
1675976071,9223372036854775807
1675976101,9223372036854775807
1675976131,9223372036854775807
1675976161,9223372036854775807
1675976191,9223372036854775807
1675976221,9223372036854775807
1675976251,9223372036854775807
1675976281,9223372036854775807
1675976311,9223372036854775807
1675976341,9223372036854775807
1675976371,9223372036854775807
1675976401,9223372036854775807
1675976431,9223372036854775807
1675976461,9223372036854775807
1675976491,9223372036854775807
1675976521,9223372036854775807
1675976551,9223372036854775807
1675976581,9223372036854775807
1675976611,9223372036854775807
1675976641,9223372036854775807
1675976671,9223372036854775807
1675976701,9223372036854775807
1675976731,9223372036854775807
1675976761,9223372036854775807
1675976791,9223372036854775807
1675976821,9223372036854775807
1675976851,9223372036854775807
1675976881,9223372036854775807
1675976911,9223372036854775807
1675976941,9223372036854775807
1675976971,9223372036854775807
1675977001,9223372036854775807
1675977031,9223372036854775807
1675977061,9223372036854775807
1675977091,9223372036854775807
1675977121,9223372036854775807
1675977151,9223372036854775807
1675977181,9223372036854775807
1675977211,9223372036854775807
1675977241,9223372036854775807
1675977271,9223372036854775807
1675977301,9223372036854775807
1675977331,9223372036854775807
1675977361,9223372036854775807
1675977391,9223372036854775807
1675977421,9223372036854775807
1675977451,9223372036854775807
1675977481,9223372036854775807
1675977511,9223372036854775807
1675977541,9223372036854775807
1675977572,9223372036854775807
1675977602,9223372036854775807
1675977632,9223372036854775807
1675977662,9223372036854775807
1675977692,9223372036854775807
1675977722,9223372036854775807
1675977752,9223372036854775807
1675977782,9223372036854775807
1675977812,9223372036854775807
1675977842,9223372036854775807
1675977872,9223372036854775807
1675977902,9223372036854775807
1675977932,9223372036854775807
1675977962,9223372036854775807
1675977992,9223372036854775807
1675978022,9223372036854775807
1675978052,9223372036854775807
1675978082,9223372036854775807
1675978112,9223372036854775807
1675978142,9223372036854775807
1675978172,9223372036854775807
1675978202,9223372036854775807
1675978232,9223372036854775807
1675978262,9223372036854775807
1675978292,9223372036854775807
1675978322,9223372036854775807
1675978352,9223372036854775807
1675978382,9223372036854775807
1675978412,9223372036854775807
1675978442,9223372036854775807
1675978472,9223372036854775807
1675978502,9223372036854775807
1675978532,9223372036854775807
1675978562,9223372036854775807
1675978592,9223372036854775807
1675978622,9223372036854775807
1675978652,9223372036854775807
1675978682,9223372036854775807
1675978712,9223372036854775807
1675978742,9223372036854775807
1675978772,9223372036854775807
1675978802,9223372036854775807
1675978832,9223372036854775807
1675978862,9223372036854775807
1675978892,9223372036854775807
1675978922,9223372036854775807
1675978952,9223372036854775807
1675978982,9223372036854775807
1675979012,9223372036854775807
1675979042,9223372036854775807
1675979072,9223372036854775807
1675979102,9223372036854775807
1675979132,9223372036854775807
1675979162,9223372036854775807
1675979192,9223372036854775807
1675979222,9223372036854775807
1675979252,9223372036854775807
1675979282,9223372036854775807
1675979312,9223372036854775807
1675979342,9223372036854775807
1675979372,9223372036854775807
1675979402,9223372036854775807
1675979432,9223372036854775807
1675979462,9223372036854775807
1675979492,9223372036854775807
1675979522,9223372036854775807
1675979552,9223372036854775807
1675979582,9223372036854775807
1675979612,9223372036854775807
1675979642,9223372036854775807
1675979672,9223372036854775807
1675979702,9223372036854775807
1675979732,9223372036854775807
